"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2214","Test1","chromium","Wed Aug 21 22:24:55 GST 2024","passed","Wed Aug 21 22:24:58 GST 2024","","reports.spec.ts","",""
"","11780","Test3","chromium","Wed Aug 21 22:25:01 GST 2024","failed","Wed Aug 21 22:25:13 GST 2024","","reports.spec.ts","",""
"","3560","Test2","chromium","Wed Aug 21 22:24:58 GST 2024","passed","Wed Aug 21 22:25:01 GST 2024","","reports.spec.ts","",""
